process_name,avg_power,samples,M2
IntelAudioService.exe,0.05150526632091554,609,57.71939275810701
jhi_service.exe,0.00032421384644707195,608,0.0002594656279275287
RstMwService.exe,0.0003650150741376802,608,0.00042050421295338657
wslservice.exe,0.01504712795798287,608,3.0030434366567746
WMIRegistrationService.exe,0.004146212702467295,608,0.16284587037158843
GlideXNearService.exe,0.2736754432495851,608,137.5244269523449
NgcIso.exe,8.621360209653764e-05,608,2.29680972795364e-05
AsusSystemDiagnosis.exe,0.001191834090319338,607,0.012585187607674528
SearchFilterHost.exe,1.645019618625578,616,1140.2677217595522
WmiApSrv.exe,0.4131506786199749,487,145.05559097805065
AsusSwitch.exe,0.0006168654684842801,605,0.0009934001793174651
AsusOptimization.exe,0.23660882663331487,563,2292.9569422240265
GlideXService.exe,0.5495110878456526,563,270.82264326299327
ONENOTEM.EXE,0.02182662640162454,330,2.211941124917166
ChatGPT.exe,4.838973793683634,2345,4018265.6721056253
AsusOptimizationStartupTask.exe,0.015044651704699527,420,0.2757889270789555
teraboxunite.exe,16.017381192985713,2596,21787411.447866447
AsusSoftwareManagerAgent.exe,0.13737203023050373,537,133.49721233396315
GlideXServiceExt.exe,0.06385170558171473,468,98.89875970868184
AsusSystemAnalysis.exe,1.0546932541340275,328,3737.7134551128743
AsusOSD.exe,0.1564187018619283,451,526.9892750619802
explorer.exe,131.83546964012245,325,77876071.23798762
SearchProtocolHost.exe,15.196957191707005,490,62123.28391600294
BraveUpdate.exe,0.010604761295456584,143,2.6161142620243694
DtsApo4Service.exe,0.21324935063261374,609,522.7825668060997
GlideXRemoteService.exe,0.5773863532766614,563,6275.622036529719
FileSyncHelper.exe,0.22323007947535678,552,1272.3976797738262
updater.exe,0.07320203619376409,35,12.27362523070177
OneDrive.exe,23.91255754401456,491,18240688.580079988
AsusSoftwareManager.exe,1.714750035620954,562,257026.70794720997
terabox.exe,12.907278405579131,486,4429603.255327729
WhatsApp.Root.exe,9.58154713465028,487,10205499.366655745
CodeSetup-stable-994fd12f8d3a5aa16f17d42c041e5809167e845a.exe,0.02550506591796875,6,0.0
TextInputHost.exe,0.4570300478907707,541,533.386914047049
ActionsServer.exe,2.3584455394744874,2,2.8130533973676393
OneDriveLauncher.exe,2.7922564506530763,1,0.0
OneDrive.Sync.Service.exe,0.2581725339916181,174,1166.1919542687733
SDXHelper.exe,0.21992125292842465,440,320.3609998311011
WINWORD.EXE,1.621040204498062,169,9091.898944849701
ai.exe,0.548540484811308,169,2985.7958975960037
SnippingTool.exe,1.4878937443402602,157,4235.9490039577795
pip.exe,0.029749393463134766,1,0.0
brave.exe,29.81780408654537,936,2597800.986217914
AsusUpdateChecker.exe,0.003875732421875,1,0.0
msedgewebview2.exe,480.0883053469787,1343,4722425157.481481
igfxextN.exe,0.0752486268043518,3,0.0036174679316900438
AsusAppService.exe,16.601731239159516,195,21478604.63857028
servicehost.exe,17.806939293457898,192,10143969.601185424
Notepad.exe,2.1397767066955566,1,0.0
WerFault.exe,0.45432567596435547,1,0.0
DataExchangeHost.exe,0.4975771903991699,1,0.0
Registry,26.019878414863456,151,4895687.262653563
System Idle Process,4.362504971036505,12,88215.75594883041
AggregatorHost.exe,11.153207201229483,12,966436.0653754235
chrome.exe,1400.5643550956522,81,9862410361.103388
TrustedInstaller.exe,0.06547033618870396,9,0.003677777405957588
conda.exe,0.047249794006347656,1,0.0
WMIADAP.exe,1.9262559923899167,10,7313.213753669901
TiWorker.exe,0.6137058453692755,9,0.3854404653629899
sc.exe,0.00493621826171875,1,0.0
UIEOrchestrator.exe,0.00980377197265625,1,0.0
OneDriveStandaloneUpdater.exe,0.006439208984375,1,0.0
DeviceCensus.exe,3.7591934204101562,1,0.0
rundll32.exe,0.0093231201171875,1,0.0
OfficeClickToRun.exe,0.3963581694426918,11,1214.4878372969586
MoUsoCoreWorker.exe,0.04045073420170154,9,0.00012254761531949043
python.exe,26.44554473876953,2,2685663.865991907
SearchIndexer.exe,5.730362027313101,8,4555.105265287683
MsMpEng.exe,1011.6297559747695,2,5082587681.03125
UltraViewer_Service.exe,1.0074925422668457,1,0.0
turbo_vpn-service.exe,0.0027618408203125,1,0.0
AnyDesk.exe,3.3192577362060547,1,0.0
crashpad_handler.exe,0.005123138427734375,1,0.0
vmcompute.exe,0.00313568115234375,1,0.0
YourPhoneAppProxy.exe,0.28217172622680664,1,0.0
